node_1,node_2,edge,chunk_id
Frailty,Syndrome,is a,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_0
Frailty,Health decline,increases vulnerability to,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_0
Frailty,Disability,increases vulnerability to,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_0
Psychological frailty,Physical frailty,co-occurs with,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_0
Psychological frailty,Depressive mood,co-occurs with,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_0
Physical frailty,Slow walking speed,characterized by,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_0
Physical frailty,Muscle weakness,characterized by,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_0
Physical frailty,Exhaustion,characterized by,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_0
Physical frailty,Low physical activity,characterized by,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_0
Physical frailty,Weight loss,characterized by,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_0
Psychological frailty,Lifestyle activities,associated with reduced engagement in,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_0
Psychological frailty,Disability,linked to increased risk of,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_0
Physical frailty,Disability,linked to increased risk of,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_0
Physical Frailty,Depressive Mood,Combines with to form psychological frailty,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_1
Psychological Frailty,Disability,Associated with increased risk of,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_1
Psychological Frailty,Daily Activities,Associated with reduced engagement in,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_1
Mobility,Physical Frailty,Component of,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_1
Strength,Physical Frailty,Component of,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_1
Endurance,Physical Frailty,Component of,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_1
Physical Activity,Physical Frailty,Component of,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_1
Nutrition,Physical Frailty,Component of,03fbb42a22e2b70cc056e85c669c443d6ff7d8c62815841edb87e9c0f7f12664_1
