node_1,node_2,edge,chunk_id
Older adults,Health,"is negatively impacted by reduced physical, cognitive, and social engagement",13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Sedentary behavior,Physical frailty,increases risk of,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Falls,Mobility limitations,are associated with,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Cognitive decline,Disability,is a major cause of,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Physical activity,Cognition,positively impacts,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Physical activity,Physical status,positively impacts,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Home-based computerized training,Physical exercises,combines,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Home-based computerized training,Cognitive training,combines,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Mobility test,Primary efficacy outcome,assesses,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Adherence,Dosage,is measured based on,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Adherence,Frequency of use,is measured based on,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Adherence,Volume of use,is measured based on,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Home-based multidomain intervention,Efficacy,determines,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Home-based multidomain intervention,Adherence,determines,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Home-based intervention,Accessibility barriers,overcomes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_0
Home-based computerised program,Older adults,is designed for,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_1
Home-based computerised program,Physical exercise,combines,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_1
Home-based computerised program,Cognitive exercise,combines,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_1
Computerisation,Accessibility barriers,addresses,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_1
Computerisation,Home-based training,enables,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_1
Gait exercises,Home-based computerised program,is part of,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_1
Strength exercises,Home-based computerised program,is part of,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_1
Cognitive activities,Attention,targets,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_1
Cognitive activities,Problem-solving skills,targets,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_1
Timed Up and Go test,Mobility,assesses,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_1
Randomised controlled trial,Intervention group,compares,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_1
Intervention group,Active control group,is compared to,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_1
home-based computerized training program,patient outcomes,improves,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_2
older adults,frailty status,varies with,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_2
double-blind randomized controlled trial,clinical trial,is a type of,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_2
experimental intervention,active control,compared to,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_2
26-week intervention,treatment efficacy,assesses,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_2
experimental group,home-based computerized training program,continues,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_2
control group,active control program,begins,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_2
treatment adherence,study period,measured throughout,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_2
home visits,treatment adherence,monitors,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_2
phone calls,treatment adherence,monitors,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_2
usability,user experience,related to,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_2
At-home training program,Older adults,is implemented for,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_3
Home visits,Adherence to intervention,ensure,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_3
Monthly phone calls,Program-related issues,address,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_3
Older adults,Switzerland,are from,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_3
Older adults,Canada,are from,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_3
Older adults,Belgium,are from,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_3
4-IADL scale,Independence in daily activities,indicates,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_3
Timed-up and go task,Physical mobility,assesses,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_3
Cognitive function,Executive function,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_3
Quality of life questionnaires,Psychosocial well-being,measure,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_3
intervention,physical function,impacts,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
intervention,cognitive function,impacts,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
inclusion criterion,home internet access,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
inclusion criterion,interest in exercise,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
exclusion criterion,cognitive impairment,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
exclusion criterion,frailty,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
phone screening,physical limitation,filters out individuals with,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
data,secure database,stored in,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
randomization,intervention group,assigns participants to,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
randomization,control group,assigns participants to,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
