node_1,node_2,edge,chunk_id
central nervous system,age-related changes,experiences,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_0
cognitive decline,age-related changes,is associated with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_0
inflammation,age-related changes,is associated with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_0
microglia,activation,undergoes,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_0
astrocyte,activation,undergoes,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_0
gene expression analysis,microglia,performed on,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_0
gene expression analysis,astrocyte,performed on,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_0
microglia,inflammatory response,involved in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_0
astrocyte,Alzheimer's disease risk,linked to,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_0
astrocyte,synaptic transmission,linked to,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_0
astrocyte,peptidase inhibition,linked to,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_0
gene expression,microglia,is changed in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_1
gene expression,astrocytes,is changed in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_1
microglia,brain cell,is a type of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_1
astrocytes,brain cell,is a type of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_1
Alzheimer's disease model,gene expression,affects changes in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_1
brain tissue,single cell,isolates,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_1
cell suspension,myelin,removes,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_1
magnetic beads,myelin,removes,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_1
brain,enzymatic dissociation,is subjected to,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_1
density gradient centrifugation,myelin,removes,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_1
magnetic-activated cell sorting,cells,isolates,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_2
fluorescence-activated cell sorting,cell populations,isolates,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_2
viability dye,dead cells,excludes,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_2
RNA purification kit,RNA,extracts,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_2
DNase treatment,DNA,removes,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_2
spectrophotometer,RNA,quantifies,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_2
bioanalyzer,RNA,assesses quality of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_2
reverse transcription,cDNA,synthesizes,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_2
high-throughput sequencing,paired-end reads,generates,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_2
RNA in situ hybridization,gene expression,detects,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_2
Brain tissue samples,Microscope slides,mounted on,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_3
mRNA transcripts,Tissue sections,target,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_3
Microglia,Astrocytes,express genes in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_3
Cell nuclei,Counterstaining,undergo,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_3
Image stacks,Maximum intensity projections,processed to generate,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_3
Autofluorescence signal,Background signal,reduces,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_3
Common probes,Microglia and astrocytes,identifies,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_3
Cell sorting,RNA extraction,used for,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_3
