node_1,node_2,edge,chunk_id
Frailty,Vulnerability,characterized by,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_0
Frailty,Disability,increases risk of,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_0
Frailty,Mortality,increases risk of,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_0
Frailty,Deficit Accumulation,modeled through,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_0
Frailty,Slowness,assessed clinically based on,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_0
Technology,Frailty,offers possibilities for monitoring,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_0
Inertial Measurement Units,Waist,worn on,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_0
Inertial Measurement Units,Frailty Markers,assess,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_0
Presence Detectors,Frailty,predict,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_0
Waist-worn Inertial Measurement Units,Frailty Monitoring,candidates for,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_0
Frailty Markers,Weight Loss,include,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_0
frailty,clinical syndrome,is a,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_1
slowness,frailty,is indicator of,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_1
weakness,frailty,is indicator of,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_1
exhaustion,frailty,is indicator of,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_1
weight loss,frailty,is indicator of,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_1
low physical activity,frailty,is indicator of,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_1
robustness,frailty,precedes,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_1
frailty,disability,precedes,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_1
exercise interventions,frailty,can reverse,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_1
automatic sensors,functional status,monitor,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_1
smart home,health monitoring,provides,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_1
Unobtrusiveness,Seamless Integration,includes,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_2
Unobtrusiveness,Non-Interference,includes,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_2
Frailty Monitoring,Physical Performance,focuses on,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_2
Physical Performance,Mobility,includes,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_2
Physical Performance,Motor Skills,includes,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_2
Physical Performance,Behavior,includes,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_2
Gait Analysis,Slowness,assesses,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_2
Sit-to-Stand Transition,Weakness,assesses,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_2
Wearable Sensor,Ubiquitous Sensor,classified as,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_2
Wearable Sensor,On-Body Sensor,classified as,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_2
Wearable Sensor,Non-Ubiquitous Sensor,classified as,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_2
Ambient Sensor,Environment,integrated into,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_2
Ambient sensors,Wearable sensors,are distinct from,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_3
Ambient sensors,Continuous health monitoring,offer potential for,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_3
Unobtrusive sensors,Simple setup,require,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_3
Unobtrusive sensors,Long-term operation,enable,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_3
Sensor technology,Controlled environments,is adapted from,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_3
Sensor technology,Real-world environments,is adapted to,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_3
Sensor parameters,Functional variables,relate to,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_3
Accelerometer,Gait speed,is used for measuring,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_3
Predictive models,Sensor parameters,transform,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_3
Functional variables,Sensor type,are assessed with,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_3
Frailty diagnosis,Health monitoring,is used for,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_3
Scoping review,Unobtrusive sensor technology,examines,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_4
Frailty,Older adults,assessed in,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_4
Wearable sensors,Ubiquity,offer,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_4
Ambient sensors,Unsupervised environments,valuable in,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_4
Waist-worn inertial measurement units,Frailty-related variables,assesses,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_4
Frailty phenotype,Frailty,component of,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_4
Unobtrusive monitoring,Daily life,without disrupting,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_4
Sensor-based frailty diagnosis,Gap,has,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_4
Transparent ambient sensors,Embedded binary sensors,includes,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_4
Functional decline,Specific diseases,due to,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_4
sensor technology,frailty,measures,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_5
frailty phenotype,sensor technology,measured by,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_5
performance metrics,sensor technology,measured by,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_5
functional decline,Parkinson's disease,"related to, excluded",42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_5
functional decline,falls,"related to, excluded",42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_5
functional decline,cognitive impairment,"related to, excluded",42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_5
gait,functional variable,is a type of,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_5
activity patterns,functional variable,is a type of,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_5
speed,sensor output,is a type of,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_5
stride variability,sensor output,is a type of,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_5
sensor technology,frailty,assesses,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_5
citations,electronic databases,identified from,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_6
citations,duplicates,removed duplicates from,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_6
citations,title and abstract,screened by,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_6
full text articles,eligibility criteria,assessed for,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_6
studies,meta-analysis,included in,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_6
publications,journal articles,are mostly,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_6
publications,conference proceedings,include,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_6
publications,book chapters,include,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_6
publications,publication trend,showed increasing,42e611ac94604b8812513ca5550f5a43a3e7cac7f5f0a6020437caea21d18b94_6
