node_1,node_2,edge,chunk_id
Cellular senescence,Cell cycle arrest,is a state of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_0
Cellular senescence,Epigenetic modification,is associated with,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_0
DNA methylation,Transposable elements,occurs in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_0
Fibroblast senescence,DNA methylation,is linked to changes in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_0
Senescent endothelial cells,Demethylation,experience increased,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_0
Long Interspersed Nuclear Element-1,Hypomethylation,shows,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_0
LINE-1 demethylation,Transcription of LINE-1 and Alu elements,leads to increased,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_0
Senescent endothelial cells,RNA expression,increased,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_0
Epigenetic alteration,Aging,influences,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_0
DNA methylation,CpG islands,occurs in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_0
CpG methylation,Genome-wide CpG methylation,contributes to,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_0
Cellular senescence,Epigenetic alterations in chromatin regions,involves,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_0
Transposable element methylation,Genome-wide CpG methylation,contributes to,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_0
Transposable elements,DNA sequences,are repetitive,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_1
LINE-1,Transposable elements,is a type of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_1
SINEs,Transposable elements,is a type of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_1
LINE-1,promoters,possess,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_1
LINE-1,open reading frames,possess,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_1
Alu elements,SINEs,is a type of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_1
Transposable element expression,aging processes,implicated in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_1
LINE-1,immune response,potentially triggers,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_1
HUVECs,senescence,used to induce,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_1
NHDFs,senescence,used to induce,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_1
telomere length,senescence,biomarker for,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_1
SA-β-gal,senescence,biomarker for,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_1
Genomic DNA,Cells,is isolated from,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_2
Genomic DNA,Bisulfite Conversion,is subjected to,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_2
Methylation Array,DNA Methylation Patterns,analyzes,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_2
Sequencing Data,Human Genome,is aligned to,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_2
Primers,Primer Design Tool,are designed using a,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_2
Primers,Genome,specificity verified against,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_2
Total RNA,Cell Pellets,is extracted from,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_2
Mature MicroRNA Expression,Real-Time PCR,is quantified using,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_2
RNA,Reverse Transcription,was subjected to,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_2
Quantitative PCR,Gene-Specific Primers,performed using,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_2
ΔΔCt Method,Relative Quantification,is used for,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_2
Cellular senescence,Cell cycle arrest,is a state of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_3
Cellular senescence,Reduced cell proliferation,characterized by,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_3
Cellular senescence,Telomere shortening,characterized by,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_3
Senescence-associated microRNAs,Cellular senescence,are biomarkers of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_3
Cell fractionation,Nucleus,separates into,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_3
Cell fractionation,Cytoplasm,separates into,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_3
Real-time PCR,DNA sequence quantification,used for,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_3
Protein extracts,Electrophoresis,analyzed using,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_3
Antibodies,Proteins,detect,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_3
Statistical significance,Experimental groups,tests differences between,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_3
P-value,0.05,threshold for statistical significance,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_3
Replicative senescence,microRNA-21,exhibits elevated expression of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_4
Replicative senescence,microRNA-146a,exhibits elevated expression of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_4
Replicative senescence,microRNA-217,exhibits elevated expression of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_4
Reverse transcription PCR,microRNA expression levels,is used to determine,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_4
Human umbilical vein endothelial cells,Genome-wide methylation analysis,undergoes,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_4
Senescent cells,CpG islands/shores/shelves,exhibit hypomethylation in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_4
Senescent cells,CpG islands/shores/shelves,exhibit hypermethylation of single,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_4
Senescent cells,Genomic regions with low gene density,exhibit increased demethylation in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_4
LINE-1,Senescent cells,exhibits demethylation in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_4
Alu elements,Senescent cells,exhibits demethylation in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_4
L1HS,LINE-1,is part of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_4
DNA methylation,CpG site,occurs at,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_5
CpG site,retrotransposon,located within,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_5
HUVEC,cellular senescence,exhibit,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_5
LINE-1 retrotransposon,DNA hypomethylation,exhibit,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_5
Alu element,DNA hypomethylation,show,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_5
LINE-1 element,DNA hypermethylation,shows,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_5
DNA methylation,epigenetic modification,is an,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_5
Cellular senescence,cell cycle arrest,is a state of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_5
LINE-1 hypomethylation,LINE-1 activation,suggests,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_5
Statistical significance,methylation differences,supports,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_5
Senescent cells,LINE-1 elements,methylation status is investigated in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_6
LINE-1 elements,Transposable elements,is a type of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_6
CpG sites,LINE-1 elements,are demethylated in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_6
LINE1PA2,LINE-1 subfamily,is a,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_6
LINE1PA2,Senescent cells,exhibits hypomethylation in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_6
LINE-1 subfamilies,LINE-1 elements,are within,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_6
L1P,Demethylated sites,shows enrichment of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_6
L1M,Demethylated sites,shows enrichment of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_6
