node_1,node_2,edge,chunk_id
Gut microbiota,Host physiology,influences,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_0
Gut microbiota,Nutrient absorption,modulates,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_0
Aging,Gut microbiota diversity,is associated with reduced,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_0
Gut-muscle axis,Age-related physical decline,plays a role in,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_0
Probiotics,Muscle mass,improves,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_0
Butyrate,Muscle wasting,improves muscle mass in mice with,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_0
Frailty,Gut microbiota diversity,is associated with reduced,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_0
Muscle loss,Muscle mass decrease,is characterized by,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_0
Exercise,Muscle loss,is a key approach for preventing,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_0
Nutritional interventions,Frailty,is a key approach for preventing,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_0
Fat accumulation in muscle,Mortality,is linked to higher risk of,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_0
fat,muscle tissue,accumulates within,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_1
mortality risk,intramuscular fat,is associated with,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_1
systemic anabolic resistance,mortality risk,results from,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_1
gut microbiota,physical frailty,is implicated in,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_1
gut microbiota,sarcopenia,is implicated in,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_1
chronic inflammation,anabolic resistance,is promoted by,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_1
muscle size,anabolic resistance,is reduced by,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_1
gut barrier function,systemic inflammation,decline results in,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_1
intestinal permeability,lipopolysaccharide,leads to increased absorption of,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_1
short-chain fatty acids,nutrient bioavailability,impacts,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_1
indoxyl sulfate,skeletal muscle mass,is associated with decreased,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_1
gut microbiota,osteosarcopenic obesity,may contribute to,59c34efd6d3f8836b91f0fa047ceff1f4ba9c08999138ddf4c346286d9b83ab9_1
