node_1,node_2,edge,chunk_id
Frailty,Health concern,is an increasingly recognized,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_0
Older adults,Frailty,experience,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_0
Frailty,Decline in multiple physiological systems,is characterized by,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_0
Frailty,Increased vulnerability to stressors,is characterized by,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_0
Frailty,Reduced physiological reserves,is characterized by,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_0
Frailty assessment tools,Validation,lack,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_0
Questionnaire-based screening tool,Frailty detection,used for,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_0
Clinical scale,Physical performance,correlated with,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_0
Modified screening tool,Sensitivity,demonstrated good,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_0
Modified screening tool,Specificity,demonstrated good,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_0
Accurate frailty assessment,Targeted interventions,is crucial for,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_0
Frailty assessment,Primary care,should be integrated into,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_1
Frailty,Pathophysiology,has pathophysiology,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_1
Frailty phenotype,Frailty,is a method to define,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_1
Frailty index,Frailty,is a method to define,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_1
Frailty phenotype,Unintentional weight loss,includes,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_1
Frailty index,Accumulated deficits,quantifies,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_1
Frailty risk,Obesity,is increased by,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_1
Frailty,Screening,requires,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_1
Assessment tools,Frailty,are used to detect,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_1
Frailty,Multicomponent interventions,requires,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_1
Frailty,Accumulation of deficits,arises from,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_1
frailty,vulnerability to stressors,is a state of increased,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
older adults,frailty,is assessed for,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
visual frailty scale,frailty,assesses,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
comorbidity,visual frailty scale,is a factor in,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
