node_1,node_2,edge,chunk_id
Cell-type specific transcription factor,rRNA gene expression,regulates,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_0
Cell-type specific transcription factor,Keratinocytes,primarily expressed in,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_0
Cell-type specific transcription factor,Gametogenic cells,primarily expressed in,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_0
Cell-type specific transcription factor,rDNA promoter,binds to,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_0
Ubiquitous RNA polymerase I transcription factor,rDNA promoter,competes with cell-type specific transcription factor for binding to,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_0
Cell-type specific transcription factor,Number of RNA polymerase I transcription sites,decreases the,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_0
Cell-type specific transcription factor,RNA polymerase I subunits,exists in a complex with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_0
Cell-type specific transcription factor,Association of RNA polymerase I subunit with the rDNA promoter,impairs,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_0
Cell-type specific transcription factor,Amount of pre-rRNA,reduces,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_0
Cell-type specific transcription factor,rDNA promoters,DNA sequencing reveals SNPs in,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_0
Cell-type specific transcription factor,RNA polymerase I,interacts with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_0
Cell-type specific transcription factor,Specific subset of rDNA genes,transcribes,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_0
Chromatin Immunoprecipitation (ChIP),protein of interest,used to determine in vivo association of,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_1
protein of interest,ribosomal DNA (rDNA),associates with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_1
human skin cell line,proliferative basal keratinocytes,retains characteristics of,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_1
antibody,chromatin,immunoprecipitates,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_1
Western blot,protein of interest,confirmed precipitation of,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_1
Upstream Binding Factor (UBF),RNA polymerase I,is transcription factor for,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_1
Upstream Binding Factor (UBF),positive control,served as,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_1
Southern blot,rDNA promoter sequence,revealed presence of,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_1
protein of interest,rDNA promoter region,primarily associates with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_1
protein of interest,internally transcribed spacer (ITS),associates less with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_1
protein level,immunoprecipitation followed by Western blot,assessed via,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_1
Chromatin immunoprecipitation (ChIP),protein,revealed association with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_2
protein,DNA promoter,associates with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_2
serum,protein-DNA binding,enhances,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_2
serum deprivation,protein-DNA binding,reduces,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_2
siRNA,protein expression,reduces,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_2
siRNA transfection,mRNA levels,decreases,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_2
siRNA transfection,protein levels,decreases,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_2
Immunocytochemistry,protein levels,confirms reduction in,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_2
control siRNA,protein levels,does not affect,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_2
protein,chromatin,associated with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_2
PCR,mRNA,monitors,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_2
Western blot,protein levels,monitors,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_2
Basonuclin,Ribosome biogenesis,affects,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_3
47S pre-rRNA,Basonuclin expression,level monitored after reducing,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_3
siRNA,Basonuclin expression,downregulates,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_3
Immunoblotting,Basonuclin protein level,assesses,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_3
