node_1,node_2,edge,chunk_id
Pain,Frailty,is associated with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_0
Moderate to Severe Pain,Pre-frailty,increases odds of,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_0
Moderate to Severe Pain,Frailty,increases odds of,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_0
Frailty,Decline in Physiological Reserves,is characterized by,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_0
Pain,Reduced Mobility,contributes to frailty via,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_0
Pain,Depression,contributes to frailty via,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_0
Pain,Increased Comorbidity Burden,contributes to frailty via,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_0
Logistic Regression,Pain,used to determine association between,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_0
Logistic Regression,Frailty Status,used to determine association between,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_0
Pain Management Interventions,Frailty,may mitigate or prevent,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_0
Older Adults,Persistent Pain,have,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_0
Longitudinal Study,Older Adults,studies,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_1
Data Collection,"1991, 1996, 2001",occurred during,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_1
Participants,Health Measures,assessed on,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_1
Frailty,Frailty Index,quantified by,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_1
Frailty Index,Self-Reported Deficits,calculated from,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_1
Deficits,"Daily Activities, Illnesses",include,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_1
Pain Assessment,5-Point Verbal Descriptor Scale,uses,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_1
Covariates,"Demographics, Depression Symptoms, Cognitive Status",include,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_1
Depression Symptoms,Depression Questionnaire,assessed using,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_1
Cognitive Status,Cognitive Assessment Tool,measured using,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_1
pain,frailty,is associated with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_2
cognitive function assessment,cognitive impairment,is indicated by lower scores in,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_2
frailty,frailty index,is categorized based on,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_2
t-test,participant characteristics,analyze differences in,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_2
chi-squared test,participant characteristics,analyze differences in,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_2
logistic regression model,pain,assesses association with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_2
logistic regression model,frailty,assesses association with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_2
pain,older age,is associated with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_2
pain,female sex,is associated with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_2
pain,depressed mood,is associated with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_2
pain,frailty,is associated with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_2
pain,frailty,is inversely associated with absence of,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_2
Pain,Frailty,is associated with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_3
Frailty,Health attitudes,is determined by,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_3
Frailty,Illnesses,is determined by,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_3
Frailty,Functional abilities,is determined by,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_3
Frailty,Not frail,has category,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_3
Frailty,Pre-frail,has category,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_3
Frailty,Frail,has category,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_3
Pain,No or mild pain,has category,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_3
Pain,Moderate or greater pain,has category,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_3
Age,Frailty,is associated with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_3
chronic pain,frailty,has relationship with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_4
logistic regression models,self-reported moderate to severe chronic pain,indicated association with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_4
moderate to severe chronic pain,pre-frailty,is associated with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_4
moderate to severe chronic pain,frailty,is associated with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_4
age,frailty,has significant association with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_4
depressed mood,frailty,has significant association with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_4
chronic pain,frailty,may contribute to,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_4
physiological systems,frailty,is impacted by chronic pain,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_4
body's resilience,chronic pain,is diminished by,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_4
chronic pain,pre-frailty,is linked to,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_4
chronic pain,frailty,is linked to,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_4
Chronic pain,Frailty,is associated with increased,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_5
Pain,Frailty,contributes to,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_5
Frailty,Pain,exacerbates,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_5
Pain,Functional decline,is linked to,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_5
Pain,Health problems,is associated with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_5
Moderate to severe pain,Pre-frailty,is linked to,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_5
Moderate to severe pain,Frailty,is linked to,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_5
Pain management,Benefits,can produce substantial overall,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_5
